Id,Full_School_Name,School,Full_Conference,Conference_id,Adj. RPI,Division,Type,City,State,State_id
494,Southern Wesleyan University,Southern Wesleyan,Southeast,5,82,2,Mens,Central,South Carolina,45
495,Newman University,Newman,Plains ,4,83,2,Mens,Wichita,Kansas,20
496,,Cal St. Dom. Hills,,0,84,2,Mens,,,0
497,Bentley University,Bentley,New England ,1,85,2,Mens,Waltham,Massachusetts,25
498,Davenport University,Davenport,Great Lakes ,3,86,2,Mens,Grand Rapids,Michigan,26
499,Stonehill College,Stonehill,New England ,1,87,2,Mens,Easton,Massachusetts,25
500,Flagler College,Flagler,Southeast,5,88,2,Mens,St. Augustine,Florida,12
501,Newberry College,Newberry,Southeast,5,89,2,Mens,Newberry,South Carolina,45
502,Lewis University,Lewis,Great Lakes ,3,90,2,Mens,Romeoville,Illinois,17
503,Shepherd University,Shepherd,Southeast,5,91,2,Mens,Shepherdstown,West Virginia,54
504,University of Bridgeport,Bridgeport,New England ,1,92,2,Mens,Bridgeport,Connecticut,9
505,,Hawaii Pacific,,0,93,2,Mens,,,0
506,Le Moyne College,Le Moyne,Mid East ,2,94,2,Mens,Syracuse,New York,36
507,,Union (TN),,0,95,2,Mens,,,0
508,,Bloomsburg,,0,96,2,Mens,,,0
509,West Liberty University,West Liberty,Southeast,5,97,2,Mens,West Liberty,West Virginia,54
510,,Cal U (PA),,0,98,2,Mens,,,0
511,Colorado Mesa University,Colorado Mesa,Rocky Mountains ,7,99,2,Mens,Grand Junction,Colorado,8
512,Saint Martin's University,Saint Martin's,Far West ,8,100,2,Mens,Lacey,Washington,53
513,,Chaminade,,0,101,2,Mens,,,0
514,,Colo. Christian,,0,102,2,Mens,,,0
515,,Delta St.,,0,103,2,Mens,,,0
516,,St. Anselm,,0,104,2,Mens,,,0
517,Molloy College,Molloy,Mid East ,2,105,2,Mens,Rockville Centre,New York,36
518,,Missouri S&T,,0,105,2,Mens,,,0
519,Bloomfield College,Bloomfield,Mid East ,2,107,2,Mens,Bloomfield,New Jersey,34
520,,Saint Rose,,0,108,2,Mens,,,0
521,,Tex. A&M Int'l,,0,109,2,Mens,,,0
522,Trevecca Nazarene University,Trevecca Nazarene,Southeast,5,110,2,Mens,Nashville,Tennessee,47
523,University of West Florida,West Florida,Southeast,5,111,2,Mens,Pensacola,Florida,12
524,Ashland University,Ashland,Great Lakes ,3,112,2,Mens,Ashland,Ohio,39
525,,King (TN),,0,112,2,Mens,,,0
526,Catawba College,Catawba,Southeast,5,114,2,Mens,Salisbury,North Carolina,37
527,Fresno Pacific University,Fresno Pacific,Far West ,8,115,2,Mens,Fresno,California,6
528,Franklin Pierce University,Franklin Pierce,New England ,1,116,2,Mens,Rindge,New Hampshire,33
529,Eckerd College,Eckerd,Southeast,5,117,2,Mens,St. Petersburg,Florida,12
530,,Urbana,,0,118,2,Mens,,,0
531,,Goldey-Beacom,,0,119,2,Mens,,,0
532,Francis Marion University,Francis Marion,Southeast,5,120,2,Mens,Florence,South Carolina,45
533,,New York Tech,,0,121,2,Mens,,,0
534,,Lindenwood (MO),,0,122,2,Mens,,,0
535,Chowan University,Chowan,Southeast,5,123,2,Mens,Murfreesboro,North Carolina,37
536,,West Va. Wesleyan,,0,124,2,Mens,,,0
537,,West Ala.,,0,125,2,Mens,,,0
538,,Mo.-St. Louis,,0,126,2,Mens,,,0
539,,Okla. Christian,,0,127,2,Mens,,,0
540,Mercyhurst University,Mercyhurst,Mid East ,2,128,2,Mens,Erie,Pennsylvania,42
541,,South Dakota Mines,,0,129,2,Mens,,,0
542,,Ky. Wesleyan,,0,130,2,Mens,,,0
543,,Shippensburg,,0,131,2,Mens,,,0
544,,Concordia (CA),,0,132,2,Mens,,,0
545,University of Mary,Mary,Plains ,4,133,2,Mens,Bismarck,North Dakota,38
546,,Millersville,,0,134,2,Mens,,,0
547,,Pitt.-Johnstown,,0,135,2,Mens,,,0
548,Chestnut Hill College,Chestnut Hill,Mid East ,2,136,2,Mens,Philadelphia,Pennsylvania,42
549,Malone University,Malone,Great Lakes ,3,137,2,Mens,Canton,Ohio,39
550,Lake Erie College,Lake Erie,Great Lakes ,3,138,2,Mens,Painesville,Ohio,39
551,Northwood University,Northwood,Great Lakes ,3,139,2,Mens,Midland,Michigan,26
552,,Mont. St. Billings,,0,140,2,Mens,,,0
553,,Notre Dame de Namur,,0,141,2,Mens,,,0
554,,Anderson (SC),,0,142,2,Mens,,,0
555,,UC-Colo. Springs,,0,143,2,Mens,,,0
556,,Concordia Portland,,0,143,2,Mens,,,0
557,,Staten Island,,0,143,2,Mens,,,0
558,North Greenville University,North Greenville,Southeast,5,146,2,Mens,Tigerville,South Carolina,45
559,University of Mount Olive,Mount Olive,Southeast,5,147,2,Mens,Mount Olive,North Carolina,37
560,,West Tex. A&M,,0,148,2,Mens,,,0
561,Georgian Court University,Georgian Court,Mid East ,2,149,2,Mens,Lakewood,New Jersey,34
562,,Lees-McRae,,0,150,2,Mens,,,0
563,Wheeling University,Wheeling,Southeast,5,151,2,Mens,Wheeling,West Virginia,54
564,University of Findlay,Findlay,Great Lakes ,3,152,2,Mens,Findlay,Ohio,39
565,,Sonoma St.,,0,153,2,Mens,,,0
566,Mars Hill University,Mars Hill,Southeast,5,154,2,Mens,Mars Hill,North Carolina,37
567,Northwest Nazarene University,Northwest Nazarene,Rocky Mountains ,7,155,2,Mens,Nampa,Idaho,16
568,Coker University,Coker,Southeast,5,156,2,Mens,Hartsville,South Carolina,45
569,,American Int'l,,0,157,2,Mens,,,0
570,,Saginaw Valley,,0,158,2,Mens,,,0
571,Felician University,Felician,Mid East ,2,159,2,Mens,Rutherford,New Jersey,34
572,,Oakland City,,0,160,2,Mens,,,0
573,,Charleston (WV),,0,161,2,Mens,,,0
574,Caldwell University,Caldwell,Mid East ,2,162,2,Mens,Caldwell,New Jersey,34
575,,Clayton St.,,0,163,2,Mens,,,0
576,Alderson Broaddus University,Alderson Broaddus,Southeast,5,164,2,Mens,Philippi,West Virginia,54
577,,Northeastern St.,,0,165,2,Mens,,,0
578,Seton Hill University,Seton Hill,Mid East ,2,166,2,Mens,Greensburg,Pennsylvania,42
579,,Dominican (NY),,0,167,2,Mens,,,0
580,,Dist. Columbia,,0,167,2,Mens,,,0
581,Gannon University,Gannon,Mid East ,2,169,2,Mens,Erie,Pennsylvania,42
582,St. Thomas Aquinas College,St. Thomas Aquinas,Mid East ,2,170,2,Mens,Sparkill,New York,36
583,,Purdue Northwest,,0,171,2,Mens,,,0
584,Southwest Baptist University,Southwest Baptist,Plains ,4,172,2,Mens,Bolivar,Missouri,29
585,,Cal St. East Bay,,0,172,2,Mens,,,0
586,Ohio Valley University,Ohio Valley,Southeast,5,174,2,Mens,Vienna,West Virginia,54
587,Spring Hill College,Spring Hill,Southeast,5,175,2,Mens,Mobile,Alabama,1
588,Ohio Dominican University,Ohio Dominican,Great Lakes ,3,176,2,Mens,Columbus,Ohio,39
589,Shorter University,Shorter,Southeast,5,177,2,Mens,Rome,Georgia,13
590,Academy of Art University,Academy of Art,Far West ,8,178,2,Mens,San Francisco,California,6
591,,CSU Pueblo,,0,179,2,Mens,,,0
592,William Jewell College,William Jewell,Plains ,4,180,2,Mens,Liberty,Missouri,29
593,Holy Names University,Holy Names,Far West ,8,181,2,Mens,Oakland,California,6
594,Concord University,Concord,Southeast,5,182,2,Mens,Athens,West Virginia,54
595,,Adams St.,,0,183,2,Mens,,,0
596,,Concordia (NY),,0,184,2,Mens,,,0
597,Lubbock Christian University,Lubbock Christian,Southwest ,6,185,2,Mens,Lubbock,Texas,48
598,,Tex. Permian Basin,,0,186,2,Mens,,,0
599,,San Fran. St.,,0,187,2,Mens,,,0
600,,Salem (WV),,0,188,2,Mens,,,0
601,,Okla. Baptist,,0,189,2,Mens,,,0
602,Shaw University,Shaw,Southeast,5,190,2,Mens,Raleigh,North Carolina,37
603,,Cal St. Monterey Bay,,0,191,2,Mens,,,0
604,,St. Mary's (TX),,0,192,2,Mens,,,0
605,,Slippery Rock,,0,193,2,Mens,,,0
606,Ouachita Baptist University,Ouachita Baptist,Southeast,5,194,2,Mens,Arkadelphia,Arkansas,5
607,Roberts Wesleyan College,Roberts Wesleyan,Mid East ,2,195,2,Mens,North Chili,New York,36
608,Walsh University,Walsh,Great Lakes ,3,196,2,Mens,North Canton,Ohio,39
609,,Truman,,0,197,2,Mens,,,0
610,,Queens (NY),,0,198,2,Mens,,,0
611,,DBU,,0,199,2,Mens,,,0
612,University of Montevallo,Montevallo,Southeast,5,200,2,Mens,Montevallo,Alabama,1
613,Daemen College,Daemen,Mid East ,2,201,2,Mens,Amherst,New York,36
614,Nyack College,Nyack,Mid East ,2,202,2,Mens,Nyack,New York,36
615,Erskine College,Erskine,Southeast,5,203,2,Mens,Due West,South Carolina,45
616,Limestone University,Limestone,Southeast,5,203,2,Mens,Gaffney,South Carolina,45
617,Upper Iowa University,Upper Iowa,Plains ,4,203,2,Mens,Fayette,Iowa,19
618,Fort Lewis College,Fort Lewis,Rocky Mountains ,7,203,2,Mens,Durango,Colorado,8
619,,Dominican (CA),,0,203,2,Mens,,,0
620,,Mississippi Col.,,0,203,2,Mens,,,0
621,,Emmanuel (GA),,0,203,2,Mens,,,0
622,,Eastern N.M.,,0,203,2,Mens,,,0
623,Belmont Abbey College,Belmont Abbey,Southeast,5,203,2,Mens,Belmont,North Carolina,37
624,Southern Nazarene University,Southern Nazarene,Southwest ,6,203,2,Mens,Bethany,Oklahoma,40
625,University of North Georgia,North Georgia,Southeast,5,1,2,Women,Dahlonega,Georgia,13
626,,Grand Valley St.,,0,2,2,Women,,,0
627,,UC San Diego,,0,3,2,Women,,,0
628,,Ferris St.,,0,4,2,Women,,,0
629,,UC-Colo. Springs,,0,5,2,Women,,,0
630,,Southern N.H.,,0,6,2,Women,,,0
631,Nova Southeastern University,Nova Southeastern,Southeast,5,7,2,Women,Davie,Florida,12
632,,Stanislaus St.,,0,8,2,Women,,,0
633,,Western Wash.,,0,9,2,Women,,,0
634,,Columbus St.,,0,10,2,Women,,,0
635,,Carson-Newman,,0,11,2,Women,,,0
636,Flagler College,Flagler,Southeast,5,12,2,Women,St. Augustine,Florida,12
637,,Minn. Duluth,,0,13,2,Women,,,0
638,Lee University,Lee,Southeast,5,14,2,Women,Cleveland,Tennessee,47
639,,Missouri Western,,0,15,2,Women,,,0
640,,Minot St.,,0,16,2,Women,,,0
641,,Point Loma,,0,17,2,Women,,,0
642,,Dixie St.,,0,18,2,Women,,,0
643,Quincy University,Quincy,Great Lakes ,3,18,2,Women,Quincy,Illinois,17
644,,Wis.-Parkside,,0,20,2,Women,,,0
645,,AUM,,0,21,2,Women,,,0
646,,Colo. Sch. of Mines,,0,22,2,Women,,,0
647,,Lenoir-Rhyne,,0,23,2,Women,,,0
648,,Georgia College,,0,24,2,Women,,,0
649,Cedarville University,Cedarville,Great Lakes ,3,25,2,Women,Cedarville,Ohio,39
650,,Augustana (SD),,0,26,2,Women,,,0
651,,Ga. Southwestern,,0,27,2,Women,,,0
652,St. Edward's University,St. Edward's,Southwest ,6,28,2,Women,Austin,Texas,48
653,Trevecca Nazarene University,Trevecca Nazarene,Southeast,5,29,2,Women,Nashville,Tennessee,47
654,,Bloomsburg,,0,30,2,Women,,,0
655,Seattle Pacific University,Seattle Pacific,Far West ,8,31,2,Women,Seattle,Washington,53
656,,Notre Dame (OH),,0,32,2,Women,,,0
657,,Southern Ind.,,0,33,2,Women,,,0
658,Rockhurst University,Rockhurst,Plains ,4,34,2,Women,Kansas City,Missouri,29
659,University of West Florida,West Florida,Southeast,5,35,2,Women,Pensacola,Florida,12
660,,Midwestern St.,,0,36,2,Women,,,0
661,Saint Michael's College,Saint Michael's,New England ,1,37,2,Women,Colchester,Vermont,50
662,,Saint Rose,,0,38,2,Women,,,0
663,,Goldey-Beacom,,0,39,2,Women,,,0
664,,Emporia St.,,0,40,2,Women,,,0
665,,Alabama Huntsville,,0,41,2,Women,,,0
666,,Central Okla.,,0,42,2,Women,,,0
667,Rollins College,Rollins,Southeast,5,43,2,Women,Winter Park,Florida,12
668,Fresno Pacific University,Fresno Pacific,Far West ,8,44,2,Women,Fresno,California,6
669,Tusculum University,Tusculum,Southeast,5,44,2,Women,Greeneville,Tennessee,47
670,,Kutztown,,0,46,2,Women,,,0
671,,Chico St.,,0,47,2,Women,,,0
672,Biola University,Biola,Far West ,8,48,2,Women,La Mirada,California,6
673,Christian Brothers University,Christian Brothers,Southeast,5,49,2,Women,Memphis,Tennessee,47
674,Bellarmine University,Bellarmine,Southeast,5,50,2,Women,Louisville,Kentucky,21
675,West Chester University,West Chester,Mid East ,2,51,2,Women,West Chester,Pennsylvania,42
676,Mercy College,Mercy,Mid East ,2,52,2,Women,Dobbs Ferry,New York,36
677,,East Stroudsburg,,0,53,2,Women,,,0
678,,UIndy,,0,54,2,Women,,,0
679,Lander University,Lander,Southeast,5,55,2,Women,Greenwood,South Carolina,45
